n_syn,n_closer,n_further,n_equal,share,dists_trn_mean,dists_val_mean,dataset,synthesizer
50000,13613,7416,28971,0.5619764079538165,4.1640801429748535,4.335879802703857,bank-marketing,flip60
50000,10500,8480,31020,0.5202068611621066,4.338180065155029,4.389939785003662,bank-marketing,flip70
50000,9343,8792,31865,0.5055170480635244,4.413080215454102,4.426060199737549,bank-marketing,flip80
50000,8983,9072,31945,0.49911706575833314,4.449039936065674,4.4470601081848145,bank-marketing,flip90
22605,4690,4641,13274,0.5010903251739609,3.574518918991089,3.577659845352173,bank-marketing,val
50000,10336,9456,30208,0.5088,4.499680042266846,4.519460201263428,online-shoppers,mostly
50000,9448,9599,30953,0.49849,8.264960289001465,8.261819839477539,online-shoppers,copulagan
50000,9532,8980,31488,0.50552,8.586000442504883,8.596980094909668,online-shoppers,ctgan
50000,8818,8640,32542,0.50178,8.152620315551758,8.156539916992188,online-shoppers,tvae
50000,9072,9585,31343,0.49487,9.187700271606445,9.177359580993652,online-shoppers,gaussian_copula
50000,11438,9049,29513,0.52389,4.559319972991943,4.616660118103027,online-shoppers,gretel
50000,16373,7039,26588,0.59334,4.065780162811279,4.300039768218994,online-shoppers,synthpop
50000,8947,8450,32603,0.5049699999999999,5.973100185394287,5.983439922332764,online-shoppers,mostly_e1
50000,9341,8803,31856,0.50538,5.024660110473633,5.035860061645508,online-shoppers,mostly_e2
50000,9711,9281,31008,0.5043,4.586160182952881,4.595779895782471,online-shoppers,mostly_e4
50000,10078,9351,30571,0.50727,4.52485990524292,4.540559768676758,online-shoppers,mostly_e8
50000,10233,9485,30282,0.5074799999999999,4.555019855499268,4.570919990539551,online-shoppers,mostly_e16
50000,47704,150,2146,0.9755400000000001,0.9196799993515015,4.319540023803711,online-shoppers,flip10
50000,44432,602,4966,0.9383,1.8288600444793701,4.434919834136963,online-shoppers,flip20
50000,39621,1466,8913,0.8815500000000001,2.7349400520324707,4.642039775848389,online-shoppers,flip30
50000,31621,2850,15529,0.78771,3.39985990524292,4.603759765625,online-shoppers,flip40
50000,23865,4434,21701,0.69431,3.969180107116699,4.667140007019043,online-shoppers,flip50
50000,17168,5958,26874,0.6121,4.389520168304443,4.73606014251709,online-shoppers,flip60
50000,12370,7463,30167,0.54907,4.62608003616333,4.761320114135742,online-shoppers,flip70
50000,9985,8098,31917,0.5188699999999999,4.762340068817139,4.807000160217285,online-shoppers,flip80
50000,9071,8439,32490,0.50632,4.8272199630737305,4.840060234069824,online-shoppers,flip90
6165,1312,1247,3606,0.505271695052717,4.278994560241699,4.2880778312683105,online-shoppers,val
